Code,Name,Lat,Lon,region1,region2
CHE,Switzerland,46.757811,8.328122,Europe,40500
SYR,Syrian Arab Republic,35.104411,38.475003,Asia,40525
TJK,Tajikistan,38.775212,70.833845,Asia,40505
MKD,TFYR Macedonia,41.589333,21.697598,Europe,40530
THA,Thailand,15.502027,101.199542,Asia,40515
TLS,Timor-Leste,-8.839555,125.7115,Asia,40515
TGO,Togo,8.747135,0.88087,Africa,40540
TKL,Tokelau,-9,-172,Oceania,40515
TON,Tonga,-20.313602,-174.796027,Oceania,40515
TTO,Trinidad & Tobago,10.563222,-61.241299,Americas,40520
TUN,Tunisia,34.219543,9.819744,Africa,40525
TUR,Turkey,39.136216,33.36457,Asia,40530
TKM,Turkmenistan,39.191547,58.766406,Asia,40505
TCA,Turks and Caicos Islands,21.792145,-71.733806,Americas,40520
TUV,Tuvalu,-7.540024,178.283237,Oceania,40515
ARE,UA Emirates,24.154436,54.363366,Asia,40525
UGA,Uganda,1.324938,32.233743,Africa,40540
UKR,Ukraine,48.074673,31.752265,Europe,40530
GBR,United Kingdom,52.597352,-1.534873,Europe,40500
USA,United States ,40.252636,-100.999161,Americas,40500
TZA,UR Tanzania,-6.42256,35.381934,Africa,40540
URY,Uruguay,-32.721374,-56.024798,Americas,40520
UZB,Uzbekistan,41.447353,64.79929,Asia,40505
VUT,Vanuatu,-16.308522,167.89617,Oceania,40515
VEN,Venezuela,7.80464,-65.891969,Americas,40520
VNM,Viet Nam,12.344649,108.343625,Asia,40515
ESH,Western Sahara,24.558661,-13.13169,Africa,40540
YEM,Yemen,15.563412,47.950477,Asia,40525
ZMB,Zambia,-13.047165,28.051606,Africa,40540
ZWE,Zimbabwe,-18.931388,29.676439,Africa,40525
