Code,UIS_Source_Code,ISO_Source_Code,Source,UIS_Target_Code,ISO_Target_Code,Target,Total
36040,360,AUS,Australia,40,AFG,Afghanistan,4057131
360500,360,AUS,Australia,500,BGD,Bangladesh,61074144
360640,360,AUS,Australia,640,BTN,Bhutan,136103
3604060,360,AUS,Australia,4060,KHM,Cambodia,7397
3601840,360,AUS,Australia,1840,COK,Cook Islands,9597
3602420,360,AUS,Australia,2420,FJI,Fiji,3416974
3603560,360,AUS,Australia,3560,IND,India,7958
3603600,360,AUS,Australia,3600,IDN,Indonesia,45539090
3603680,360,AUS,Australia,3680,IRQ,Iraq,646990
3602960,360,AUS,Australia,2960,KIR,Kiribati,6889470
3604180,360,AUS,Australia,4180,LAO,Lao People's Democratic Republic,10220128
3604620,360,AUS,Australia,4620,MDV,Maldives,158036
3605840,360,AUS,Australia,5840,MHL,Marshall Islands,9597
3604845,360,AUS,Australia,4845,FSM,Micronesia,19836
3604960,360,AUS,Australia,4960,MNG,Mongolia,499949
3601040,360,AUS,Australia,1040,MMR,Myanmar,12073058
3605200,360,AUS,Australia,5200,NRU,Nauru,157711
3605240,360,AUS,Australia,5240,NPL,Nepal,6056854
3605700,360,AUS,Australia,5700,NIU,Niue,1737858
3605860,360,AUS,Australia,5860,PAK,Pakistan,10117044
360955,360,AUS,Australia,955,PLW,Palau,78992
3605980,360,AUS,Australia,5980,PNG,Papua New Guinea,33235066
3606080,360,AUS,Australia,6080,PHL,Philippines,34867355
3608820,360,AUS,Australia,8820,WSM,Samoa,2402039
360900,360,AUS,Australia,900,SLB,Solomon Islands,1858106
3607340,360,AUS,Australia,7340,LKA,Sri Lanka,4557799
3606260,360,AUS,Australia,6260,TLS,Timor-Leste,2499322
3607760,360,AUS,Australia,7760,TON,Tonga,2892163
3607780,360,AUS,Australia,7780,TUV,Tuvalu,839432
3605480,360,AUS,Australia,5480,VUT,Vanuatu,4524106
3608680,360,AUS,Australia,8680,VNM,Viet Nam,111128
40040,400,AUT,Austria,40,AFG,Afghanistan,579
40080,400,AUT,Austria,80,ALB,Albania,232321
400120,400,AUT,Austria,120,DZA,Algeria,919
400320,400,AUT,Austria,320,ARG,Argentina,1774
400340,400,AUT,Austria,340,ARM,Armenia,6249
400380,400,AUT,Austria,380,AZE,Azerbaijan,1427
400500,400,AUT,Austria,500,BGD,Bangladesh,24206
4008050,400,AUT,Austria,8050,BLR,Belarus,2482
4002040,400,AUT,Austria,2040,BEN,Benin,1176
400680,400,AUT,Austria,680,BOL,Bolivia,122
400570,400,AUT,Austria,570,BIH,Bosnia and Herzegovina,135965
400760,400,AUT,Austria,760,BRA,Brazil,24381
4008540,400,AUT,Austria,8540,BFA,Burkina Faso,23710
4001080,400,AUT,Austria,1080,BDI,Burundi,12854
4001320,400,AUT,Austria,1320,CPV,Cabo Verde,206
4004060,400,AUT,Austria,4060,KHM,Cambodia,6316
4001200,400,AUT,Austria,1200,CMR,Cameroon,1976
4001520,400,AUT,Austria,1520,CHL,Chile,318
4001560,400,AUT,Austria,1560,CHN,China,4447
4001700,400,AUT,Austria,1700,COL,Colombia,7872
4001780,400,AUT,Austria,1780,COG,Congo,4905
4003840,400,AUT,Austria,3840,CIV,Côte d'Ivoire,2371
4001920,400,AUT,Austria,1920,CUB,Cuba,5595
4008920,400,AUT,Austria,8920,COD,Democratic Republic of the Congo,4893
4002200,400,AUT,Austria,2200,EGY,Egypt,2371
4002300,400,AUT,Austria,2300,ETH,Ethiopia,82755
4002700,400,AUT,Austria,2700,GMB,Gambia,4979
4002720,400,AUT,Austria,2720,GEO,Georgia,5593
4002880,400,AUT,Austria,2880,GHA,Ghana,18794
4003200,400,AUT,Austria,3200,GTM,Guatemala,50418
4003240,400,AUT,Austria,3240,GIN,Guinea,7198
4003560,400,AUT,Austria,3560,IND,India,46249
4003680,400,AUT,Austria,3680,IRQ,Iraq,16384
4004020,400,AUT,Austria,4020,KAZ,Kazakhstan,6357
4004040,400,AUT,Austria,4040,KEN,Kenya,59937
4004160,400,AUT,Austria,4160,KGZ,Kyrgyzstan,3101
4004500,400,AUT,Austria,4500,MDG,Madagascar,2352
4004840,400,AUT,Austria,4840,MEX,Mexico,33094
4004960,400,AUT,Austria,4960,MNG,Mongolia,14528
4004990,400,AUT,Austria,4990,MNE,Montenegro,96243
