Country Code,Name of Country,Latitude,Longitude,Donor or Recipient,OECD Country Code?,
360,Australia,,,Donor,AUS,Notes
400,Austria,,,Donor,AUT,The Nodes file describes the characteristics of each individual country on the map
560,Belgium,,,Donor,BEL,The Node file will be much shorter than the Edges file. Just the total Donor Countries + the total Recipient Countries
1240,Canada,,,Donor,CAN,
2020,Czech Republic,,,Donor,CZE,"We may use the Country Codes to connect this data to the OOSC data, so if its possible to build using UIS country codes"
2080,Denmark,,,Donor,DNK,"Either way, the Country Codes in the Nodes file, must be the same as those used in the Edges file"
2280,Estonia,,,Donor,EST,If the OECD Country Codes are different than the UIS Country Codes we can use the additional column to document that information.
2460,Finland,,,Donor,FIN,
2500,France,,,Donor,FRA,"The country names will be used to populate labels, so if you have preferred spelling or structure, document that here"
2760,Germany,,,Donor,DEU,
3000,Greece,,,Donor,GRC,"If long/lat are not readily available and you do not have a preferred geojson for us to work with, we will retrieve this information."
3520,Iceland,,,Donor,ISL,
3720,Ireland,,,Donor,IRL,Differentiate between Donor and Recipient Countries. This column will be used to color the countries so Donor and Recipients are visibly different. 
3800,Italy,,,Donor,ITA,
3920,Japan,,,Donor,JPN,
4100,Korea,,,Donor,RKO
4140,Kuwait,,,Donor,KWT
4420,Luxembourg,,,Donor,LUX
5280,Netherlands,,,Donor,NLD
5540,New Zealand,,,Donor,NZL
5780,Norway,,,Donor,NOR
6160,Poland,,,Donor,POL
6200,Portugal,,,Donor,PRT
6720,Slovakia,,,Donor,SVK
6760,Slovenia,,,Donor,SVN
7240,Spain,,,Donor,ESP
7520,Sweden,,,Donor,SWE
7560,Switzerland,,,Donor,CHE
8120,United Arab Emirates,,,Donor,ARE
8260,United Kingdom of Great Britain and Northern Ireland,,,Donor,GBR
8400,United States,,,Donor,USA
40,Afghanistan,,,Recipient,AFG
80,Albania,,,Recipient,ALB
120,Algeria,,,Recipient,DZA
240,Angola,,,Recipient,AGO
260,Anguilla,,,Recipient,AIA
280,Antigua and Barbuda,,,Recipient,ATG
320,Argentina,,,Recipient,ARG
340,Armenia,,,Recipient,ARM
380,Azerbaijan,,,Recipient,AZE
500,Bangladesh,,,Recipient,BGD
8050,Belarus,,,Recipient,BLR
580,Belize,,,Recipient,BLZ
2040,Benin,,,Recipient,BEN
640,Bhutan,,,Recipient,BTN
680,Bolivia,,,Recipient,BOL
570,Bosnia and Herzegovina,,,Recipient,BIH
720,Botswana,,,Recipient,BWA
760,Brazil,,,Recipient,BRA
8540,Burkina Faso,,,Recipient,BFA
1080,Burundi,,,Recipient,BDI
1320,Cabo Verde,,,Recipient,CPV
4060,Cambodia,,,Recipient,KHM
1200,Cameroon,,,Recipient,CMR
1400,Central African Republic,,,Recipient,CAF
1480,Chad,,,Recipient,TCD
1520,Chile,,,Recipient,CHL
1560,China,,,Recipient,CHN
1700,Colombia,,,Recipient,COL
1740,Comoros,,,Recipient,COM
1780,Congo,,,Recipient,COG
1840,Cook Islands,,,Recipient,COK
1880,Costa Rica,,,Recipient,CRI
3840,C™te d'Ivoire,,,Recipient,CIV
1920,Cuba,,,Recipient,CUB
4090,Democratic People's Republic of Korea,,,Recipient,PRK
8920,Democratic Republic of the Congo,,,Recipient,COD
2620,Djibouti,,,Recipient,DJI
2120,Dominica,,,Recipient,DMA
2140,Dominican Republic,,,Recipient,DOM
2180,Ecuador,,,Recipient,ECU
2200,Egypt,,,Recipient,EGY
2220,El Salvador,,,Recipient,SLV
2260,Equatorial Guinea,,,Recipient,GNQ
2270,Eritrea,,,Recipient,ERI
2300,Ethiopia,,,Recipient,ETH
